,pl_hostname,Gmag/Tmag,st_mass,st_rad,st_teff,SP_TYPE,ra,dec,exptime,B,V,Unnamed: 11,log R'_HK,vsini_brewer,vsini_aspcap,Prot_deriv_days,Prot_phot_days,eProt_phot_days,DR3,G,BP,RP,parallax,sp_type_mamajek,In Activity Catalogue,UT Dates observed,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,HD 224930,,,,,G5VbFe-2,00:02:10.18707,+27:04:55.5240,1,6.42,5.75,Baliunas,-4.73,0.0,0.0,0.0,0.0,0.0,,5.5,5.93,5.01,81.2,G8V,0,9/22/2021,,,,,,,,,,,,,,,,,
1,HD 3167,8.76,0.94,0.87,5530.0,K0V,00:34:57.52,04:22:53.3,20,,,,-4.73,0.0,0.0,0.0,0.0,0.0,,8.76,9.2,8.21,21.1,K0V,1,8/2/2020,11/13/2021,11/7/2022,,,,,,,,,,,,,,,
2,HD 3443,,,,,K1V+G,00:37:20.70000,-24:46:02.2370,1,6.28,5.57,Baliunas,-4.7,0.0,0.0,0.0,0.0,0.0,,5.95,5.78,4.87,64.9,G8V,0,9/22/2021,,,,,,,,,,,,,,,,,
3,WASP-93,10.98,1.33,1.52,6700.0,,00:37:50.11,51:17:19.5,30,11.54,11.09,,-4.52,0.0,0.0,0.0,0.0,0.0,,10.98,11.23,10.6,2.7,F5V,0,10/2/2020,11/20/2021,,,,,,,,,,,,,,,,
4,HAT-P-16,10.76,1.22,1.24,6160.0,F8,00:38:17.56,42:27:47.1,30,11.38,10.91,,-4.77,,0.0,29.87,0.0,0.0,,10.76,11.05,10.33,4.4,F9V,0,10/2/2020,12/11/2021,,,,,,,,,,,,,,,,
5,HD 3651,,,,,K0.5V,00:39:21.80613,+21:15:01.6670,1,6.71,5.88,Baliunas,-4.84,0.0,0.0,0.0,0.0,0.0,,5.63,6.1,5.08,89.8,K1V,1,9/22/2021,11/7/2022,,,,,,,,,,,,,,,,
6,HD 3795,,,,,K0VFe-1.5CH-1.3,00:40:32.80680,-23:48:17.4560,1,6.84,6.14,Baliunas,-4.78,,0.0,0.0,0.0,0.0,,5.93,6.34,5.42,35.1,G8V,0,9/22/2021,,,,,,,,,,,,,,,,,
7,GJ 29.1,9.55,,,,M1Ve+M1Ve,00:42:48.2,+35:32:55.658,30,11.84,,PMSU,-3.69,0.0,0.0,0.0,0.0,0.0,,9.55,10.66,8.54,46.0,M1V,0,01/16/22,,,,,,,,,,,,,,,,,
8,HD 4628,,,,,K2.5V,00:48:22.97733,+05:16:50.3830,1,6.64,5.74,Baliunas,-4.6,,0.0,0.0,0.0,0.0,,5.44,5.96,4.85,134.5,K2V,1,9/22/2021,,,,,,,,,,,,,,,,,
9,K2-209,10.75,0.74,0.71,4720.0,K2V,00:58:45.76,01:23:01.7,30,12.1,11.03,,-4.43,0.0,0.0,0.0,33.39,10.52,,10.74,11.32,10.06,13.0,K3V,1,10/31/2020,01/16/22,11/7/2022,,,,,,,,,,,,,,,
10,K2-222,9.36,1.0,1.09,6060.0,G0,01:05:50.95,11:45:12.3,30,10.04,9.54,,-4.72,0.0,0.0,0.0,0.0,0.0,,9.36,9.67,8.93,9.8,F9V,0,10/2/2020,01/16/22,,,,,,,,,,,,,,,,
11,TOI 1468.01,10.89,,0.37,3382.0,,01:06:36.9294,+19:13:29.7101,30,,,TOI,-4.49,0.0,0.0,0.0,0.0,0.0,,12.12,13.55,10.95,40.4,M3V,1,8/29/2021,10/11/2021,11/7/2022,,,,,,,,,,,,,,,
12,TOI 2009.01,7.36,,0.7,4755.0,,01:07:37.9901,+22:57:10.3264,5,,,TOI,-4.26,0.0,0.0,0.0,0.0,0.0,,8.03,8.66,7.31,48.7,K4V,1,8/20/2021,10/11/2021,,,,,,,,,,,,,,,,
13,TOI 1467.01,10.6,,0.49,3834.0,,01:16:27.5146,+49:13:59.2975,30,,,TOI,-4.39,0.0,0.0,0.0,0.0,0.0,,11.56,12.54,10.61,26.7,M0V,1,8/29/2021,10/29/2021,11/7/2022,,,,,,,,,,,,,,,
14,HD 10476,5.0,,,,K1V,01:42:29.76,20:16:06.645,1,6.08,5.24,Baliunas,,,,,,,,5.0,5.44,4.42,130.8,,1,,,,,,,,,,,,,,,,,,
15,HD 10780,,,,,K0V,01:47:44.83513,+63:51:08.9710,1,6.44,5.63,Baliunas,-4.4,,0.0,0.0,0.0,0.0,,5.38,5.83,4.86,99.6,G9V,1,9/22/2021,,,,,,,,,,,,,,,,,
16,WASP-156,11.32,0.84,0.76,4910.0,,02:11:07.61,02:25:04.8,30,12.56,11.59,,-4.68,0.0,0.0,0.0,0.0,0.0,,11.32,11.85,10.69,8.2,K2V,1,01/16/22,,,,,,,,,,,,,,,,,
